0.2873,2700,1,2
0,600,2,2
0.2085,2100,3,2
0.026324,1200,4,2
0.1729,3300,1,2.5
0,600,2,2.5
0.2071,1500,3,2.5
0.0023467,2100,4,2.5
0.0524,1500,1,3
0,600,2,3
0.1809,2400,3,3
0.00010203,3600,4,3
0.2873,1800,1,2
0,600,2,2
0.2091,3000,3,2
0.032446,3000,4,2
0.1808,600,1,2.5
0,600,2,2.5
0.2083,1800,3,2.5
0.0019386,1200,4,2.5
0.0524,1800,1,3
0,600,2,3
0.1813,3000,3,3
0.00020406,600,4,3
0.3044,1500,1,2
0,600,2,2
0.2075,2400,3,2
0.02612,2700,4,2
0.1762,2400,1,2.5
0,600,2,2.5
0.2073,3300,3,2.5
0.0025508,2400,4,2.5
0.0513,3300,1,3
0,600,2,3
0.1809,1200,3,3
0.00010203,3900,4,3
0.2825,3600,1,2
0,600,2,2
0.2071,3900,3,2
0.034078,1800,4,2
0.124,1500,1,2.5
0,600,2,2.5
0.2071,1800,3,2.5
0.0019386,1800,4,2.5
0.0524,2100,1,3
0,600,2,3
0.1809,3000,3,3
0.00010203,1800,4,3
0.2825,3600,1,2
0,600,2,2
0.2077,1800,3,2
0.026324,1500,4,2
0.1704,3000,1,2.5
0,600,2,2.5
0.2071,3600,3,2.5
0.0024487,3000,4,2.5
0.0524,3600,1,3
0,600,2,3
0.1813,1500,3,3
0.00020406,1800,4,3
0.2825,2400,1,2
0,600,2,2
0.2077,3000,3,2
0.026324,2700,4,2
0.1696,2100,1,2.5
0,600,2,2.5
0.2071,4200,3,2.5
0.0028569,1200,4,2.5
0.0591,1200,1,3
0,600,2,3
0.1811,3300,3,3
0.00010203,2100,4,3
0.2925,2700,1,2
0,600,2,2
0.2075,3000,3,2
0.026324,1500,4,2
0.124,2100,1,2.5
0,600,2,2.5
0.2073,2700,3,2.5
0.0024487,2400,4,2.5
0.0524,2700,1,3
0,600,2,3
0.1811,2700,3,3
0.00020406,1500,4,3
0.2938,900,1,2
0,600,2,2
0.2071,1800,3,2
0.032446,1500,4,2
0.124,2700,1,2.5
0,600,2,2.5
0.2073,600,3,2.5
0.0019386,1800,4,2.5
0.0556,600,1,3
0,600,2,3
0.1813,2400,3,3
0.00010203,1800,4,3
0.2825,4200,1,2
0,600,2,2
0.2091,2400,3,2
0.026324,3000,4,2
0.124,900,1,2.5
0,600,2,2.5
0.2085,2400,3,2.5
0.0019386,2700,4,2.5
0.0513,3600,1,3
0,600,2,3
0.1813,600,3,3
0.00010203,3000,4,3
0.2853,2100,1,2
0,600,2,2
0.2071,1800,3,2
0.032446,3600,4,2
0.164,1800,1,2.5
0,600,2,2.5
0.2079,1800,3,2.5
0.0024487,1800,4,2.5
0.0513,1500,1,3
0,600,2,3
0.1809,1800,3,3
0.00010203,2100,4,3
0.3077,3300,1,2
0,600,2,2
0.2083,3900,3,2
0.032446,2400,4,2
0.1513,1500,1,2.5
0,600,2,2.5
0.2075,2400,3,2.5
0.0028569,1800,4,2.5
0.059,600,1,3
0,600,2,3
0.1809,2100,3,3
0.00010203,1200,4,3
0.2938,900,1,2
0,600,2,2
0.2085,1500,3,2
0.026324,3000,4,2
0.124,900,1,2.5
0,600,2,2.5
0.2075,1500,3,2.5
0.0019386,2400,4,2.5
0.0513,1800,1,3
0,600,2,3
0.1809,2400,3,3
0.00020406,1800,4,3
0.2853,3000,1,2
0,600,2,2
0.2075,1200,3,2
0.026324,2700,4,2
0.164,3000,1,2.5
0,600,2,2.5
0.2071,3000,3,2.5
0.0024487,2700,4,2.5
0.0524,2700,1,3
0,600,2,3
0.1815,1200,3,3
0.00010203,1500,4,3
0.2925,1500,1,2
0,600,2,2
0.2073,3000,3,2
0.02612,2100,4,2
0.124,1200,1,2.5
0,600,2,2.5
0.2073,3600,3,2.5
0.0019386,2100,4,2.5
0.0524,1500,1,3
0,600,2,3
0.1813,2700,3,3
0.00010203,1500,4,3
0.2853,2400,1,2
0,600,2,2
0.2073,1800,3,2
0.026324,2100,4,2
0.124,2700,1,2.5
0,600,2,2.5
0.2091,1800,3,2.5
0.0030609,2700,4,2.5
0.0556,2400,1,3
0,600,2,3
0.1807,3000,3,3
0.00010203,2400,4,3
0.2925,1200,1,2
0,600,2,2
0.2071,900,3,2
0.032446,2100,4,2
0.164,1800,1,2.5
0,600,2,2.5
0.2083,3000,3,2.5
0.0025508,1800,4,2.5
0.0524,1500,1,3
0,600,2,3
0.1807,2400,3,3
0.00020406,600,4,3
0.2977,2400,1,2
0,600,2,2
0.2079,3000,3,2
0.032446,1800,4,2
0.1808,600,1,2.5
0,600,2,2.5
0.2073,3900,3,2.5
0.0024487,2400,4,2.5
0.0524,1800,1,3
0,600,2,3
0.1809,1800,3,3
0.00010203,1200,4,3
0.3077,2100,1,2
0,600,2,2
0.2075,1200,3,2
0.032446,1500,4,2
0.124,1200,1,2.5
0,600,2,2.5
0.2075,600,3,2.5
0.0019386,2400,4,2.5
0.0524,1500,1,3
0,600,2,3
0.1809,2100,3,3
0.00020406,1800,4,3
0.2853,600,1,2
0,600,2,2
0.2075,600,3,2
0.026324,3000,4,2
0.1704,900,1,2.5
0,600,2,2.5
0.2077,600,3,2.5
0.0019386,1200,4,2.5
0.0524,1800,1,3
0,600,2,3
0.1807,3000,3,3
0.00020406,2100,4,3
0.2873,1500,1,2
0,600,2,2
0.2075,1200,3,2
0.032446,3000,4,2
0.124,2400,1,2.5
0,600,2,2.5
0.2083,3300,3,2.5
0.0019386,1200,4,2.5
0.0513,1800,1,3
0,600,2,3
0.1819,3300,3,3
0.00020406,600,4,3
